map, num_cans, time [s]
map78.txt,8,0
map42.txt,3,0.01
map44.txt,3,0.56
map54.txt,3,0.31
map43.txt,3,0.09
map87.txt,4,1.45
map10.txt,3,0.00
map59.txt,3,0.22
map30.txt,3,1.99
map60.txt,3,0.87
map25.txt,4,0.01
map49.txt,4,0.03
map3.txt,2,0.00
map22.txt,2,0.00
map46.txt,3,0.86
map81.txt,4,7.39
map55.txt,3,2.22
map70.txt,5,41.02
map47.txt,4,0
map7.txt,2,0.00
map5.txt,2,0.00
map62.txt,4,0.30
map74.txt,12,0
map16.txt,3,0.01
map66.txt,8,0
map71.txt,6,5.89
map79.txt,4,0.87
map58.txt,4,0.47
map34.txt,3,0.13
map84.txt,4,30.76
map85.txt,4,0
map51.txt,4,0.10
map24.txt,2,0.03
map18.txt,3,0.01
map63.txt,4,5.71
map4.txt,2,0.01
map23.txt,2,0.01
map21.txt,2,0.00
map86.txt,4,0
map75.txt,12,0
map61.txt,5,0.34
map69.txt,8,0.33
map33.txt,3,0.07
map45.txt,4,2.83
map19.txt,3,0.01
map32.txt,3,0.09
map35.txt,3,0.86
map31.txt,3,0.30
map48.txt,4,0
map53.txt,3,0.02
map1.txt,2,0.00
map14.txt,3,0.00
map83.txt,5,0
map11.txt,3,0.00
map73.txt,12,0
map38.txt,3,0.04
map37.txt,3,0.11
